ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,duration,local_orig,proto,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,client_initial_dcid,server_scid,label
1722971870.160235,C2kUUe1BiqoQ2xPdWj,192.168.1.4,36996,199.38.167.131,443,2.1370961666,True,tcp,2804,7479,SF,False,0,ShADadFf,11,3384,10,8007,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.731373,CryzBW1WUFZsfNajYc,192.168.1.4,38270,3.224.185.54,443,0.4417099953,True,tcp,1938,442,SF,False,0,ShADadFf,8,2362,8,866,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.06507,CloRWI2xGD2q4adN4,192.168.1.4,55382,159.127.42.204,443,0.4417099953,True,tcp,1938,442,SF,False,0,ShADadFf,8,2362,8,866,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.185663,C6CQLo3bIPPlnQFPtg,192.168.1.4,42764,192.168.1.1,53,0.4417099953,True,udp,1938,442,SF,False,0,ShADadFf,8,2362,8,866,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.456342,CHgMgz249OIhRLmzf3,192.168.1.4,38597,192.168.1.1,53,0.4417099953,True,udp,1938,442,SF,False,0,ShADadFf,8,2362,8,866,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.045619,ClnYE6B2v0LVaQSNc,192.168.1.4,58521,192.168.1.1,53,0.046977996800000005,True,udp,40,138,SF,True,0,Dd,1,68,1,166,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.777224,C8Qc8R3d86VMIbmEB9,192.168.1.4,41208,44.226.172.44,443,0.046977996800000005,True,udp,40,138,SF,True,0,Dd,1,68,1,166,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.352212,CXXj441kYAEvYSERF5,192.168.1.4,46319,192.168.1.1,53,0.046977996800000005,True,udp,40,138,SF,True,0,Dd,1,68,1,166,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971869.355854,CrlHrSZCaEGrIebo5,192.168.1.4,34599,192.168.1.1,53,0.023182869000000002,True,udp,34,136,SF,True,0,Dd,1,62,1,164,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971866.993766,CnbvQMOImIEBKX1u,192.168.1.4,42119,192.168.1.1,53,0.0028610229000000003,True,udp,35,92,SF,True,0,Dd,1,63,1,120,e82a82d1a907d17e,e82a82d1a907d17e,DNS
1722971871.065376,Cqgiqi1WZyqvL7t653,192.168.1.4,48572,23.50.125.215,443,0.48860192300000005,True,tcp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,HTTPS
1722971871.448196,CZ8OKNwMDdUdbhDl5,192.168.1.4,42264,192.168.1.1,53,0.48860192300000005,True,udp,1876,4245,SF,False,0,ShADadFRf,11,2432,11,4825,e82a82d1a907d17e,e82a82d1a907d17e,DNS
